# Interlingua translation file: English -> hi
# Format: hash<TAB>translation
hash	translation
385476f5b1bbe340	आह
03ea48a38eecc0c0	पीछे
c46a0e4cc0046040	त्यागना
e13350403ce40080	परित्यक्त
e13350403ce40040	छोड़ दिया
0dc8fbad150d3040	त्याग रहा
e0439eced3d54040	त्याग देता है
29d683e95fc46040	कम होना
3e0eaef7fee3b040	कम हुआ
e65af51fd36b3080	संक्षिप्त
e65af51fd36b3040	छोटा किया
da8a00dd7ac4f080	उदर संबंधी
d16420172a65b040	अपहरण किया
934da3b3cd6d9080	विचलित
ec5ad3480e64b040	उकसाना
bfe003cbff7e4040	उकसाना
c2c96a45543e0040	पालन करना
4de8abe0d1ee7040	पालन करना
11944e534046b080	स्थायी
11944e534046b040	पालन कर रहा
54536afe8392c080	अजैविक
cc175db74eec0080	अत्यंत दयनीय
86a6030f319fe080	जलता हुआ
86a6030f319fe0c0	आग में
f4004fdea3547080	सक्षम
10d13e74d0e400c0	कुशलता से
4d6e65414e0ab080	असामान्य
eefe676a1b5820c0	असामान्य रूप से
ff9a937608c344c0	पर
ff9a937608c340c0	सवार
93d9fe97f195c040	समाप्त करना
9902f5a3766e2040	समाप्त किया
5d69b29663aca040	समाप्त करना
4021610fef3ed080	घृणित
6544119a4c557080	आदिवासी
77695c868f1dc040	गर्भपात करना
60f247d4af86a040	गर्भपात किया
60f247d4af86a080	विफल
517914741cd76040	गर्भपात करना
d47fb23e24d4c040	भरपूर होना
d183a82d25275040	भरपूर है
cacc05c6461864c0	के बारे में
cacc05c6461860c0	लगभग
9191fee6a8f3e4c0	ऊपर
9191fee6a8f3e0c0	ऊपर
025450be9f0a7080	भूमि के ऊपर
73f317d07ecba080	घर्षणकारी
dfbd6a2d642580c0	साथ-साथ
02f7e7f07cd46080	संक्षिप्त
02f7e7f07cd46040	छोटा किया
0545d05378e6c0c0	विदेश में
cd058e7a43f27080	अचानक
a87a2bcc457500c0	अचानक
1b676af97710c080	अनुपस्थित
dee3e389c5b0b080	पूर्ण
3f1b571a687430c0	बिल्कुल
d0ed238d442a1040	अवशोषित करना
e1063f07268c3040	अवशोषित करना
e1063f07268c3080	अवशोषित
b715ed43a8c55080	अवशोषक
110c306de725b080	आकर्षक
5b57b7162bbed040	अवशोषित करता है
3439f2a7c8861040	परहेज़ करना
