the	art+m.یہ@art+f.یہ
of	prep.کا@prep.کی@prep.کے
and	conj.اور
to	prep.کو@prep.تک
a	art+m.ایک@art+f.ایک
in	prep.میں
for	prep.کے لیے
is	v.ہے
on	prep.پر
that	pron.وہ@conj.کہ
by	prep.سے@prep.کی طرف سے
this	pron+m.یہ@pron+f.یہ
with	prep.کے ساتھ
i	pron.میں
you	pron.آپ@pron.تم
it	pron+m.یہ@pron+f.یہ
not	ad.نہیں
or	conj.یا
be	v.ہونا
are	v.ہیں
from	prep.سے
at	prep.پر
as	prep.کے طور پر@conj.جیسا
your	pron.آپ کا@pron.آپ کی@pron.تمہارا@pron.تمہاری
all	a.تمام@pron.سب
have	v.رکھنا
new	a+m.نیا@a+f.نئی
more	a.زیادہ@ad.مزید
an	art+m.ایک@art+f.ایک
was	v.تھا@v.تھی
we	pron.ہم
will	v.گا@v.گی@n+f.وصیت
home	n+m.گھر
can	v.سکنا@n+m.ڈبہ
us	pron.ہمیں
about	prep.کے بارے میں@ad.تقریباً
if	conj.اگر
page	n+m.صفحہ
my	pron.میرا@pron.میری
has	v.رکھتا ہے
search	n+f.تلاش@v.تلاش کرنا
free	a.آزاد@a.مفت
but	conj.لیکن@prep.سوائے
our	pron.ہمارا@pron.ہماری
one	n+m.ایک@a.ایک
other	a+m.دوسرا@a+f.دوسری
do	v.کرنا
no	a.کوئی نہیں@ad.نہیں
information	n+f.معلومات
time	n+m.وقت@n+f.بار
they	pron.وہ
site	n+f.جگہ@n+f.سائٹ
he	pron+m.وہ
up	ad.اوپر@prep.تک
may	v.سکنا@n+m.مئی
what	pron.کیا
which	pron.کون سا@pron.جو
their	pron.ان کا@pron.ان کی
news	n+f.خبر@n+f.خبریں
out	ad.باہر@prep.سے باہر
use	v.استعمال کرنا@n+m.استعمال
any	a.کوئی@a.کچھ
there	ad.وہاں
see	v.دیکھنا
only	ad.صرف@a.واحد
so	ad.اتنا@conj.اس لیے
his	pron+m.اس کا
when	ad.کب@conj.جب
contact	n+m.رابطہ@v.رابطہ کرنا
here	ad.یہاں
business	n+m.کاروبار@n+f.تجارت
who	pron.کون@pron.جو
web	n+m.ویب@n+m.جالا
also	ad.بھی
now	ad.اب
help	n+f.مدد@v.مدد کرنا
get	v.حاصل کرنا@v.پانا
pm	n+f.شام
view	n+m.نظارہ@v.دیکھنا
online	a.آن لائن@ad.آن لائن
first	a+m.پہلا@a+f.پہلی@ad.پہلے
am	v.ہوں
been	v.رہا ہے@v.رہی ہے
would	v.گا@v.گی
how	ad.کیسے
were	v.تھے@v.تھیں
me	pron.مجھے
services	n+f.خدمات
some	a.کچھ@pron.کچھ
these	pron.یہ
click	v.کلک کرنا@n+m.کلک
its	pron.اس کا@pron.اس کی
like	v.پسند کرنا@prep.جیسا
service	n+f.خدمت@n+f.سروس
than	prep.سے@conj.سے
find	v.ڈھونڈنا@v.پانا
price	n+f.قیمت
date	n+f.تاریخ@n+m.کھجور
back	ad.واپس@n+f.پیٹھ@a+m.پچھلا@a+f.پچھلی
top	n+m.اوپر@n+f.چوٹی@a.اوپری
people	n+m.لوگ
had	v.تھا@v.تھی@v.رکھا تھا
list	n+f.فہرست@v.فہرست بنانا
name	n+m.نام@v.نام رکھنا
just	ad.بس@ad.ابھی@a.منصفانہ
over	prep.اوپر@ad.ختم@a.ختم
state	n+f.ریاست@n+f.حالت@v.بیان کرنا
year	n+m.سال
day	n+m.دن
into	prep.میں@prep.کے اندر
email	n+m.ای میل@v.ای میل کرنا
two	n+m.دو@a.دو
health	n+f.صحت
world	n+f.دنیا@n+m.عالم
