the	art.ال
of	prep.من@prep.لـ
and	conj.و
to	prep.إلى@prep.لـ
a	art.—
in	prep.في
for	prep.لـ@prep.من أجل
is	v.يكون
on	prep.على
that	pron.ذلك@conj.أن
by	prep.بـ@prep.بواسطة
this	pron+m.هذا@pron+f.هذه
with	prep.مع@prep.بـ
i	pron.أنا
you	pron.أنت@pron.أنتم
it	pron+m.هو@pron+f.هي
not	ad.لا@ad.ليس
or	conj.أو
be	v.يكون
are	v.يكونون
from	prep.من
at	prep.في@prep.عند
as	prep.كـ@conj.بينما
your	pron.ـك@pron.ـكم
all	a.كل@pron.الجميع
have	v.يملك@v.لديه
new	a+m.جديد@a+f.جديدة
more	a.أكثر@ad.أكثر
an	art.—
was	v.كان
we	pron.نحن
will	v.سوف@n+f.إرادة
home	n+m.بيت@n+m.منزل
can	v.يستطيع@n+f.علبة
us	pron.نا@pron.إيانا
about	prep.عن@prep.حول
if	conj.إذا@conj.لو
page	n+f.صفحة
my	pron.ـي
has	v.يملك@v.لديه
search	n+m.بحث@v.يبحث
free	a+m.حر@a+f.حرة@a+m.مجاني@a+f.مجانية
but	conj.لكن@conj.ولكن
our	pron.ـنا
one	n+m.واحد@a.واحد
other	a+m.آخر@a+f.أخرى
do	v.يفعل
no	ad.لا@a.لا
information	n+f.معلومات
time	n+m.وقت@n+f.مرة
they	pron+m.هم@pron+f.هن
site	n+m.موقع
he	pron+m.هو
up	ad.فوق@prep.إلى أعلى
may	v.قد@v.ربما@n+m.مايو
what	pron.ما@pron.ماذا
which	pron.الذي@pron.أي
their	pron.ـهم@pron.ـهن
news	n+f.أخبار
out	ad.خارج@prep.من
use	v.يستخدم@n+m.استخدام
any	a.أي@pron.أي
there	ad.هناك
see	v.يرى
only	ad.فقط@a+m.وحيد@a+f.وحيدة
so	ad.جداً@conj.لذلك
his	pron+m.ـه
when	ad.متى@conj.عندما
contact	n+m.اتصال@v.يتصل
here	ad.هنا
business	n+m.عمل@n+f.شركة
who	pron.من
web	n+f.شبكة
also	ad.أيضاً
now	ad.الآن
help	v.يساعد@n+f.مساعدة
get	v.يحصل@v.يصل
pm	ad.مساءً
view	n+f.رؤية@n+m.منظر@v.يشاهد
online	a.على الإنترنت@ad.على الإنترنت
first	a+m.أول@a+f.أولى@ad.أولاً
am	v.أكون
been	v.كان
would	v.سيكون
how	ad.كيف
were	v.كانوا
me	pron.ـني@pron.إياي
services	n+f.خدمات
some	a.بعض@pron.بعض
these	pron.هؤلاء@pron.هذه
click	v.ينقر@n+f.نقرة
its	pron.ـه@pron.ـها
like	prep.مثل@v.يحب@a+m.شبيه@a+f.شبيهة
service	n+f.خدمة
than	prep.من@conj.من
find	v.يجد@n+f.اكتشاف
price	n+m.سعر@n+f.قيمة
date	n+m.تاريخ@n+f.موعد
back	n+m.ظهر@ad.خلف@v.يدعم
top	n+f.قمة@n+m.أعلى@a+m.علوي@a+f.علوية
people	n+m.ناس@n+m.شعب
had	v.كان لديه
list	n+f.قائمة@v.يدرج
name	n+m.اسم@v.يسمي
just	ad.فقط@a+m.عادل@a+f.عادلة
over	prep.فوق@prep.على@a+m.منتهٍ@a+f.منتهية
state	n+f.ولاية@n+f.حالة@v.يصرح
year	n+m.عام@n+f.سنة
day	n+m.يوم
into	prep.إلى@prep.في
email	n+m.بريد إلكتروني@v.يرسل بريداً
two	n+m.اثنان@a.اثنان
health	n+f.صحة
world	n+m.عالم
re	prep.بخصوص
next	a+m.تالٍ@a+f.تالية@ad.بعد ذلك
used	a+m.مستعمل@a+f.مستعملة@v.استخدم
go	v.يذهب
work	n+m.عمل@v.يعمل
last	a+m.أخير@a+f.أخيرة@v.يستمر
most	a.معظم@ad.أكثر
products	n+f.منتجات
music	n+f.موسيقى
buy	v.يشتري
data	n+f.بيانات
make	v.يصنع@v.يجعل
them	pron.ـهم@pron.إياهم
should	v.يجب@v.ينبغي
product	n+m.منتج
system	n+m.نظام
post	n+m.منشور@n+m.بريد@v.ينشر
her	pron+f.ـها@pron+f.إياها
city	n+f.مدينة
add	v.يضيف
policy	n+f.سياسة
number	n+m.رقم@n+m.عدد
such	a.مثل هذا@ad.كذلك
please	v.يرجى@int.من فضلك
available	a+m.متاح@a+f.متاحة@a+m.متوفر@a+f.متوفرة
copyright	n+f.حقوق نشر
support	n+m.دعم@v.يدعم
message	n+f.رسالة
after	prep.بعد@conj.بعدما
best	a.أفضل@ad.أفضل
software	n+m.برنامج@n+f.برمجيات
then	ad.ثم@ad.حينئذٍ
jan	n+m.يناير
good	a+m.جيد@a+f.جيدة
video	n+m.فيديو
well	ad.جيداً@n+f.بئر@int.حسناً
where	ad.أين@conj.حيث
info	n+f.معلومات
rights	n+f.حقوق
public	a+m.عام@a+f.عامة@n+m.جمهور
books	n+f.كتب
high	a+m.عالٍ@a+f.عالية
school	n+f.مدرسة
through	prep.عبر@prep.خلال
each	a.كل@pron.كل
links	n+f.روابط
she	pron+f.هي
review	n+f.مراجعة@v.يراجع
years	n+f.سنوات@n+m.أعوام
order	n+m.طلب@n+m.ترتيب@v.يطلب
very	ad.جداً
privacy	n+f.خصوصية
book	n+m.كتاب@v.يحجز
items	n+f.عناصر@n+f.بنود
company	n+f.شركة
read	v.يقرأ
group	n+f.مجموعة
sex	n+m.جنس
need	v.يحتاج@n+f.حاجة
many	a.كثير@a.عديد
user	n+m.مستخدم
said	v.قال
de	prep.من
does	v.يفعل
set	v.يضع@n+f.مجموعة@a+m.محدد@a+f.محددة
under	prep.تحت
general	a+m.عام@a+f.عامة@n+m.جنرال
research	n+m.بحث@v.يبحث
university	n+f.جامعة
january	n+m.يناير
mail	n+m.بريد@v.يرسل
full	a+m.كامل@a+f.كاملة@a+m.ممتلئ@a+f.ممتلئة
map	n+f.خريطة@v.يرسم خريطة
reviews	n+f.مراجعات
program	n+m.برنامج@v.يبرمج
life	n+f.حياة
know	v.يعرف
games	n+f.ألعاب
way	n+m.طريق@n+f.طريقة
days	n+f.أيام
management	n+f.إدارة
part	n+m.جزء
could	v.استطاع@v.يمكن
great	a+m.عظيم@a+f.عظيمة@a+m.كبير@a+f.كبيرة
united	a+m.متحد@a+f.متحدة
hotel	n+m.فندق
real	a+m.حقيقي@a+f.حقيقية
item	n+m.عنصر@n+f.بند
international	a+m.دولي@a+f.دولية
ebay	n+m.إيباي
must	v.يجب
store	n+m.متجر@v.يخزن
travel	n+m.سفر@v.يسافر
comments	n+f.تعليقات
made	v.صنع@a+m.مصنوع@a+f.مصنوعة
development	n+f.تنمية@n+m.تطوير
report	n+m.تقرير@v.يبلغ
off	ad.بعيداً@prep.من@a+m.مطفأ@a+f.مطفأة
member	n+m.عضو
details	n+f.تفاصيل
line	n+m.خط@n+f.سطر
terms	n+f.شروط@n+m.مصطلحات
before	prep.قبل@conj.قبل أن
hotels	n+f.فنادق
did	v.فعل
send	v.يرسل
right	a+m.صحيح@a+f.صحيحة@n+m.حق@a+m.يمين
type	n+m.نوع@v.يكتب
because	conj.لأن@conj.بسبب
local	a+m.محلي@a+f.محلية
those	pron.أولئك@pron.تلك
using	v.يستخدم
results	n+f.نتائج
office	n+m.مكتب
education	n+m.تعليم@n+f.تربية
national	a+m.وطني@a+f.وطنية
car	n+f.سيارة
design	n+m.تصميم@v.يصمم
take	v.يأخذ
posted	v.نشر@a+m.منشور@a+f.منشورة
internet	n+f.إنترنت
address	n+m.عنوان@v.يخاطب
community	n+m.مجتمع
within	prep.داخل@prep.في غضون
states	n+f.ولايات@n+f.دول
area	n+f.منطقة@n+f.مساحة
want	v.يريد
phone	n+m.هاتف@v.يتصل
shipping	n+m.شحن
reserved	a+m.محجوز@a+f.محجوزة
subject	n+m.موضوع@n+f.مادة@a+m.خاضع@a+f.خاضعة
between	prep.بين
forum	n+m.منتدى
family	n+f.عائلة@n+f.أسرة
long	a+m.طويل@a+f.طويلة
based	a+m.مبني@a+f.مبنية@a+m.مقره
code	n+m.رمز@n+m.كود
show	v.يعرض@n+m.عرض
even	ad.حتى@a+m.متساوٍ@a+f.متساوية
black	a+m.أسود@a+f.سوداء@n+m.أسود
check	v.يتحقق@n+m.شيك@n+f.فحص
special	a+m.خاص@a+f.خاصة
prices	n+f.أسعار
website	n+m.موقع إلكتروني
index	n+m.فهرس@n+m.مؤشر
being	n+m.كائن@v.يكون
women	n+f.نساء
much	a.كثير@ad.كثيراً
sign	n+f.علامة@n+f.لافتة@v.يوقع
file	n+m.ملف@v.يقدم
link	n+m.رابط@v.يربط
open	a+m.مفتوح@a+f.مفتوحة@v.يفتح
today	ad.اليوم@n+m.اليوم
technology	n+f.تكنولوجيا@n+f.تقنية
south	n+m.جنوب@a+m.جنوبي@a+f.جنوبية
