pl.अंगण	n+m.courtyards
pl.अंड्याचे बलक	n+m.yolks
pl.अंतर्वस्त्र	n+m.underpants
pl.अंदाजकर्ते	n+m.forecasters
pl.अंधश्रद्धा	n+f.superstitions
pl.अंमलबजावणी करणारे	n+m.executors
pl.अक्षरांतर	n+m.anagrams
pl.अडथळे	n+m.snags
pl.अडवणूक	n+m.intercepts
pl.अतिरिक्त खर्च	n+m.overruns
pl.अतिरेक	n+f.redundancies
pl.अतिवाहक	n+m.superconductors
pl.अधिग्रहण	n+f.takeovers
pl.अधोगती	n+f.downgrades
pl.अधोलेख	n+m.subscripts
pl.अध्यक्ष	n+m.chairpersons
pl.अन्याय	n+f.inequities
pl.अपराधी	n+m.culprits
pl.अफूचे पदार्थ	n+m.opiates
pl.अब्जाधीश	n+m.billionaires
pl.अभिलेखपाल	n+m.archivists
pl.अमाइन	n+m.amines
pl.अर्क	n+m.infusions
pl.अर्थछटा	n+f.connotations
pl.अल्कलॉइड	n+m.alkaloids
pl.अल्पाका	n+m.alpacas
pl.अश्रद्ध	n+m.unbelievers
pl.असमानता	n+m.inequities
pl.असातत्य	n+m.discontinuities
pl.अस्थिरता	n+f.instabilities
pl.अॅडमिरल	n+m.admirals
pl.आई	n+f.mummies
pl.आचरण	n+f.observances
pl.आठवणी	n+f.reminiscences
pl.आतडे	n+m.insides
pl.आतला भाग	n+n.insides
pl.आतले तळवे	n+f.insoles
pl.आत्मीयता	n+f.affinities
pl.आधारभूत तत्त्वे	n+f.underpinnings
pl.आधाररेषा	n+f.baselines
pl.आपत्ती	n+f.catastrophes
pl.आर्द्रताशोषक	n+m.dehumidifiers
pl.आवरणे	n+f.casings
pl.आवाहन	n+f.invocations
pl.आश्रित	n+m.dependants
pl.आहारतज्ञ	n+m.dietitians
pl.इंडक्टर	n+m.inductors
pl.इअरबड	n+m.earbuds
pl.इच्छा	n+m.appetites
pl.इनक्युबेटर	n+m.incubators
pl.इम्युनोग्लोब्युलिन	n+m.immunoglobulins
pl.इलास्टोमर	n+m.elastomers
pl.उडवणे	n+f.tosses
pl.उत्कृष्ट कृती	n+f.masterworks
pl.उत्खनक	n+m.extractors
pl.उत्सर्जक	n+m.emitters
pl.उद्गार	n+m.ejaculations
pl.उद्घाटन समारंभ	n+m.inaugurals
pl.उद्देश	n+f.intents
pl.उन्माद	n+m.rantings
pl.उपदान	n+f.gratuities
pl.उपद्रव	n+f.infestations
pl.उपद्रवी मुले	n+m.brats
pl.उपमार्ग	n+m.byways
pl.उपांत्य फेरी	n+m.semis
pl.उपांत्यपूर्व फेरी	n+m.quarterfinals
pl.उलटा	n+m.reversals
pl.उल्लंघन	n+f.infractions
pl.ऑडिओ	n+m.audios
pl.ऑप्टिमायझर	n+m.optimizers
pl.ऑलिगोन्यूक्लियोटाइड	n+m.oligonucleotides
pl.ओड कविता	n+f.odes
pl.ओढ	n+f.crushes
pl.ओढणे	n+m.tugs
pl.ओतणे	n+f.infusions
pl.ओळख	n+f.identifications
pl.ओव्हरऑल	n+m.coveralls
pl.औद्योगिक कंपन्या	n+m.industrials
pl.कंद	n+m.tubers
pl.कंबर	n+m.loins
pl.कक्षा	n+m.orbitals
pl.कट रचणारे	n+m.conspirators
pl.कटिप्रदेश	n+f.loins
pl.कट्टर अनुयायी	n+m.zealots
pl.कठोर	n+m.stiffs
pl.कण्हणे	n+f.groans
pl.कपट	n+m.wiles
pl.कपडे	n+n.apparels
pl.कपात	n+m.cutbacks@n+m.redundancies
pl.कमाई	n+m.takings
pl.करडा रंग	n+m.greys
pl.करदाते	n+m.ratepayers
pl.कर्करोग	n+m.malignancies
pl.कर्करोग तज्ञ	n+m.oncologists
pl.कल	n+f.leanings
pl.कल्पनाकथा	n+f.fictions
pl.कल्व्हर्ट	n+f.culverts
pl.कष्ट	n+m.grinds
pl.कातर	n+f.snips
pl.कापड	n+m.draperies
pl.काफिर	n+m.infidels
pl.कायदेशीर सहाय्यक	n+m.paralegals
pl.कारागीर	n+m.tradesmen
pl.कार्डधारक	n+m.cardholders
pl.कार्निव्हल	n+m.carnivals
pl.कार्यवाही	n+f.doings
pl.कालमापक	n+m.timescales
pl.किनारपट्टी	n+f.coastlines
pl.किलर व्हेल	n+f.orcas
pl.किलो	n+m.kilos
pl.किल्लेबंदी	n+f.fortifications
pl.किवी	n+m.kiwis
pl.कीटक	n+m.vermin
pl.कुचाळी	n+m.shenanigans
pl.कुतूहल	n+f.curiosities
pl.कुरकुर करणारे	n+m.nags
pl.कुरकुरीत	n+m.crisps
pl.कुरडे	n+m.dens
pl.कुळ	n+m.gens
pl.कूप	n+m.follicles
pl.कूपे	n+m.coupes
pl.कृत्ये	n+n.doings
pl.कॅट्सकिल्स	n+m.catskills
pl.कॅनरी पक्षी	n+m.canaries
pl.कॅनव्हास	n+m.canvases
pl.कॅप्लेट	n+m.caplets
pl.कॅमिओ	n+m.cameos
pl.कॅरेट	n+m.karats
pl.केंद्रे	n+n.centra
pl.केशवाहिन्या	n+f.capillaries
pl.केस	n+f.bristles
pl.केस कापणे	n+m.haircuts
pl.कोंबडे	n+m.roosters
pl.कोपरे	n+m.recesses
pl.कोरस	n+m.choruses
pl.कोरीव चित्रे	n+f.glyphs
pl.कोसाक	n+m.cossacks
pl.क्युबिकल्स	n+m.cubicles
pl.क्रम	n+m.progressions
pl.क्रोनर	n+f.kronor
pl.क्वार्टरबॅक	n+m.quarterbacks
pl.खंड	n+f.discontinuities
pl.खजिने	n+f.coffers
pl.खडखडणारे	n+m.rattlers
pl.खते	n+m.fertilisers
pl.खलबत्ता	n+m.mortars
pl.खळ्या	n+f.dimples
pl.खाचा	n+f.notches
pl.खाणावळी	n+f.eateries
pl.खापरी	n+f.shards
pl.खिळे	n+m.tacks
pl.खुणा	n+f.blemishes
pl.खुळ	n+m.whims
pl.खोकला	n+m.coughs
pl.खोगीर	n+f.troughs
pl.खोदकाम	n+f.etchings
pl.गंजी	n+m.ricks
pl.गंभीर गुन्हे	n+f.felonies
pl.गर्त	n+m.troughs
pl.गल्ल्या	n+f.byways
pl.गुंड	n+m.hooligans
pl.गुंतागुंत	n+f.intricacies
pl.गुच्छ	n+m.clumps
pl.गुन्हेगार	n+m.culprits@n+m.felons
pl.गुलाबाकृती सजावट	n+f.rosettes
pl.गुलाबी फुले	n+f.pinks
pl.गुलाबी रंग	n+m.pinks
pl.गुहा	n+f.dens
pl.गोंधळ	n+f.messes
pl.गोड गोष्टी	n+f.sweeties
pl.गोलकृमी	n+m.nematodes
pl.गोलार्ध	n+m.hemispheres
pl.गोळे	n+m.blobs@n+m.orbs
pl.गौरव	n+m.laurels
pl.ग्रहण	n+m.eclipses
pl.ग्राहक	n+m.punters
pl.ग्रेटिंग	n+m.gratings
pl.ग्रेमलिन	n+m.gremlins
pl.ग्रोमेट	n+m.grommets
pl.घटना	n+f.incidences
pl.घसरणे	n+m.skids
pl.घोटाळे	n+f.rackets
pl.चपराशी	n+m.janitors
pl.चरित्रण	n+f.characterizations
pl.चवदार पदार्थ	n+f.delicacies
pl.चाके	n+f.cogs
pl.चाळिशी	n+m.forties
pl.चिंतन	n+f.ruminations
pl.चिंध्या	n+m.shreds
pl.चिंपांझी	n+m.chimpanzees
pl.चित्रफलक	n+f.canvases
pl.चिन्हे	n+m.glyphs
pl.चिप्स	n+f.crisps
pl.चुका	n+f.blunders
pl.चॉपस्टिक्स	n+f.chopsticks
pl.चोक	n+m.chokes
pl.छंदवादी	n+m.hobbyists
pl.छज्जे	n+m.eves
pl.छतावरील	n+m.rooftops
pl.छिद्रे	n+f.apertures
pl.छेदनबिंदू	n+m.intersects
pl.जंगलातील मोकळी जागा	n+f.glades
pl.जंगले	n+f.jungles
pl.जंतुनाशक	n+m.disinfectants
pl.जडावकाम	n+m.inlays
pl.जननेंद्रिये	n+n.genitalia@n+n.privates
pl.जन्मरत्न	n+m.birthstones
pl.जप्ती	n+f.takings
pl.जमाव	n+n.assemblages@n+m.multitudes
pl.जर्दाळू	n+m.apricots
pl.जलग्रहण क्षेत्र	n+m.catchments
pl.जलपरी	n+f.mermaids
pl.जहाज बांधणी केंद्र	n+m.shipyards
pl.जहाजातील शयनखोली	n+f.berths
pl.जाडी	n+f.thicknesses
pl.जाणकार	n+m.connoisseurs
pl.जाणीव	n+f.realizations
pl.जादूगार	n+m.mages
pl.जाळ्या	n+f.gratings
pl.जिंकलेले प्रदेश	n+m.conquests
pl.जिवलग मित्र	n+m.cronies
pl.जीप	n+f.jeeps
pl.जुगारी	n+m.punters
pl.जूल	n+m.joules
pl.जेसुइट	n+m.jesuits
pl.ज्यूकबॉक्स	n+m.jukeboxes
pl.झुडपे	n+f.clumps
pl.झुरळे	n+m.cockroaches
pl.झूम	n+m.zooms
pl.टर्नर	n+m.turners
pl.टायरचा तळ	n+m.treads
pl.टिंब	n+m.pips
pl.टीकाकार	n+m.detractors
pl.टॅनिन	n+m.tannins
pl.टॅब्लेचर	n+f.tablatures
pl.टेकडी	n+m.barrows
pl.टेनर गायक	n+m.tenors
pl.टेबल कापड	n+m.tablecloths
pl.टेलिमार्केटर	n+m.telemarketers
pl.टोळ	n+m.grasshoppers
pl.टोस्ट	n+m.toasts
pl.ट्रस	n+m.trusses
pl.ठेवीदार	n+m.depositors
pl.डंबेल	n+m.dumbbells
pl.डब	n+m.dubs
pl.डाग	n+m.blemishes
pl.डायटम	n+m.diatoms
pl.डाव्या हाताचे	n+m.lefties
pl.डीबगर	n+m.debuggers
pl.डॅफोडिल	n+m.daffodils
pl.डॅम्पर	n+m.dampers
pl.डॅशबोर्ड	n+m.dashboards
pl.डोळे	n+f.orbs
pl.ड्रॅगनफ्लाय	n+f.dragonflies
pl.ढोंगी	n+m.pretenders
pl.तंत्रज्ञ	n+m.techies
pl.तंबू	n+n.pavilions
pl.तक्रारी	n+f.gripes
pl.तगादे	n+m.duns
pl.तमालपत्र	n+f.laurels
pl.तरुण अभिनेत्री	n+f.starlets
pl.तर्कदोष	n+m.fallacies
pl.तळघरे	n+m.basements
pl.तळटीप	n+m.footers
pl.ताजेपणा देणारे	n+m.fresheners
pl.तात्पुरती फॅशन	n+m.fads
pl.ताबा	n+m.takeovers
pl.तारपोलीन	n+f.tarps
pl.तिजोरी	n+m.coffers
pl.तुकडे	n+m.shards
pl.तुळई	n+f.trusses
pl.तेजस्विता	n+f.glows
pl.तेजस्वी व्यक्ती	n+m.luminaries
pl.तेजोवलय	n+m.halos
pl.तोफा	n+f.mortars
pl.त्वचारोग तज्ञ	n+m.dermatologists
pl.थप्पड	n+f.slaps@n+f.smacks
pl.थुंकी	n+f.spits
pl.थेंब	n+f.blobs@n+m.drips
pl.दमनकारी	n+m.suppressors
pl.दरवाजे	n+f.doorways
pl.दलाली	n+f.brokerages
pl.दाढी	n+f.beards
pl.दात	n+m.cogs
pl.दारुडे	n+m.drunks
pl.दावेदार	n+m.pretenders
pl.दुर्मिळ वस्तू	n+m.curios
pl.दुर्मिळता	n+f.malignancies
pl.दूत	n+m.heralds
pl.दूरदृष्टीवाले	n+m.visionaries
pl.दृश्यीकरण	n+f.visualizations
pl.दृष्टांत	n+f.parables
pl.देखभालकर्ते	n+m.caretakers
pl.देणारे	n+m.givers
pl.देशद्रोही	n+m.renegades
pl.द्रुतगती मार्ग	n+m.freeways
pl.द्वार	n+m.apertures
pl.धक्के	n+m.thrusts
pl.धर्मपत्र	n+m.epistles
pl.धर्मप्रांत	n+f.dioceses
pl.धातू पट्ट्या	n+f.billets
pl.धुलाई घरे	n+f.laundries
pl.ध्वज	n+m.pennants
pl.नकली वस्तू	n+m.knockoffs
pl.नमुने	n+m.swatches
pl.नळ्यांची हाडे	n+m.shins
pl.नवविवाहित जोडपे	n+m.newlyweds
pl.नाग	n+f.vipers
pl.नाटिका	n+f.skits
pl.नायिका	n+f.heroines
pl.नारळ	n+m.coconuts
pl.नाविक	n+m.navigators
pl.नास्तिक	n+m.infidels
pl.निओकॉन	n+m.neocons
pl.निखारे	n+m.embers
pl.नियम	n+m.rubrics
pl.निराशा	n+f.disappointments
pl.निराशाजनक	n+m.dampers
pl.निर्माते	n+m.originators
pl.निवडक	n+m.pickers
pl.निवासस्थान	n+m.billets
pl.निवासस्थाने	n+f.residencies
pl.निवासी	n+m.boarders
pl.निवृत्ती	n+f.retirements
pl.निष्ठा	n+f.loyalties
pl.निष्ठावंत	n+m.loyalists
pl.नेत्रकाच	n+m.eyepieces
pl.नेत्रगोल	n+m.eyeballs
pl.नेत्रतज्ञ	n+m.ophthalmologists
pl.नैराश्य	n+m.depressions
pl.नोंदणी	n+f.enrolments
pl.पंट	n+m.punts
pl.पक्षपाती	n+m.partisans
pl.पटकथा	n+m.screenplays
pl.पटकथाकार	n+m.screenwriters
pl.पट्ट्या	n+f.compresses
pl.पडदे	n+f.draperies
pl.पताका	n+m.pennants
pl.पत्रव्यवहार	n+f.correspondences
pl.पत्रे	n+f.epistles
pl.पदवीदान	n+f.graduations
pl.परस्पर जोडणी	n+f.interconnections
pl.परस्पर संबंध	n+f.interrelationships
pl.परिशिष्ट	n+m.appendixes
pl.परिषद सहभागी	n+m.conferees
pl.पलंगाचे शीर्षक	n+m.headboards
pl.पाकिस्तानी	n+m.pakistanis
pl.पाखंडी	n+m.heretics
pl.पाठपुरावा	n+m.followups
pl.पाण्यात चालणारे बूट	n+m.waders
pl.पायवाट	n+m.footpaths
pl.पायाचे कवच	n+m.greaves
pl.पार्श्वभाग	n+m.rumps
pl.पार्श्वभूमी	n+m.backdrops
pl.पालन	n+n.observances
pl.पिंडऱ्या	n+f.shins
pl.पिपेट	n+f.pipettes
pl.पिवळे रंग	n+m.yellows
pl.पुडिंग	n+m.puddings
pl.पुनर्रचना	n+f.reconstructions
pl.पुनर्विक्री	n+f.resales
pl.पूर्वज	n+m.antecedents@n+m.forefathers
pl.पूर्वपद	n+m.antecedents
pl.पृथ्वी	n+m.earths
pl.पॅटी	n+f.patties
pl.पेट्रोकेमिकल	n+m.petrochemicals
pl.पेये	n+f.brews
pl.पेलोड	n+m.payloads
pl.पैजा	n+f.wagers
pl.पॉपर्स	n+m.poppers
pl.पॉलिश	n+m.polishes
pl.पोट	n+m.stomachs
pl.पोलिसे	n+f.polices
pl.पोस्टकोड	n+m.postcodes
pl.प्यादी	n+m.pawns
pl.प्याले	n+m.goblets
pl.प्रकाशमान	n+f.luminaries
pl.प्रगती	n+f.progressions
pl.प्रतिकारशक्ती	n+f.immunities
pl.प्रतिभाशोधक	n+m.headhunters
pl.प्रदर्शन	n+f.showings
pl.प्रदर्शनवादी	n+m.exhibitionists
pl.प्रमाण	n+m.extents
pl.प्रवृत्ती	n+m.leanings
pl.प्रवेश	n+n.enrolments@n+f.penetrations
pl.प्रवेशद्वार	n+m.doorways
pl.प्रसंग	n+m.incidences
pl.प्रादुर्भाव	n+m.infestations
pl.प्राध्यापक	n+m.profs
pl.प्रार्थना	n+n.invocations
pl.प्रिझम	n+m.prisms
pl.प्रिय	n+m.sweeties
pl.फिटर	n+m.fitters
pl.फियोर्ड	n+m.fjords
pl.फिरकी	n+f.spools
pl.फुलांच्या माळा	n+f.leis
pl.फॅसिस्ट	n+m.fascists
pl.फेस	n+m.foams
pl.फॉरवर्डर	n+m.forwarders
pl.फॉस्फोलिपिड	n+m.phospholipids
pl.फोटोकॉपी मशीन	n+m.photocopiers
pl.फ्रेट	n+m.frets
pl.बंडखोर	n+m.renegades
pl.बंदी करणारे	n+m.captors
pl.बंधुत्व संघ	n+f.fraternities
pl.बक्षीस	n+f.gratuities
pl.बगळे	n+m.herons
pl.बटू	n+m.gnomes
pl.बडबड	n+f.rantings
pl.बदमाश	n+m.scoundrels
pl.बदल	n+f.reversals
pl.बर्कशायर्स	n+m.berkshires
pl.बर्फगाड्या	n+f.sleds
pl.बर्फाचे पुतळे	n+m.snowmen
pl.बलात्कारी	n+m.rapists
pl.बहिर्गमन	n+m.outflows
pl.बहुमत	n+f.majorities
pl.बाउंसर	n+m.bouncers
pl.बागकाम करणारे	n+m.landscapers
pl.बाजूचे संवाद	n+m.asides
pl.बारकावे	n+m.nits
pl.बाळाचे पाळणे	n+f.bassinets
pl.बाह्यभाग	n+m.exteriors
pl.बाह्यरुग्ण	n+m.outpatients
pl.बिबटे	n+m.leopards
pl.बिया	n+m.pips
pl.बीटा	n+m.betas
pl.बीप	n+m.beeps
pl.बुरशीनाशक	n+m.fungicides
pl.बुरीटो	n+m.burritos
pl.बॅरिकेड्स	n+f.barricades@n+f.roadblocks
pl.बॅले नृत्य	n+m.ballets
pl.बेटे	n+n.islets
pl.बेडस्प्रेड	n+f.bedspreads
pl.बेशुद्धी	n+f.blackouts
pl.बैठका	n+f.sittings
pl.बोथट वस्तू	n+m.blunts
pl.बोधकथा	n+f.parables
pl.बोलणारे	n+m.talkers
pl.ब्रेडचा चुरा	n+m.breadcrumbs
pl.भटकंती	n+f.rambles
pl.भांडारगृहे	n+f.depositories
pl.भाजणारे	n+m.roasters
pl.भाडेकरू	n+m.boarders
pl.भाडेकरू देणारे	n+m.lessors
