# Interlingua translation file: English -> mr
# Format: hash<TAB>translation
hash	translation
385476f5b1bbe340	आह
03ea48a38eecc0c0	मागे
c46a0e4cc0046040	सोडून देणे
e13350403ce40080	सोडून दिलेला
e13350403ce40040	सोडून दिले
0dc8fbad150d3040	सोडून देत आहे
e0439eced3d54040	सोडून देतो
29d683e95fc46040	कमी करणे
3e0eaef7fee3b040	कमी झाले
3e0eaef7fee3b080	कमी झालेला
291c3db09146c000	एबीबी
a43e1ee3a6d27000	अब्बा
d24cfc90fb590000	अब्बास
e65af51fd36b3080	संक्षिप्त
6eaae73945e01000	मूलभूत गोष्टी
da8a00dd7ac4f080	उदर संबंधी
d16420172a65b040	अपहरण केलेला
934da3b3cd6d9080	विचलित
f6b6af9593947000	विचलन
ec5ad3480e64b040	साथ देणे
bfe003cbff7e4040	साथ देणे
c2c96a45543e0040	राहणे
4de8abe0d1ee7040	राहतो
11944e534046b080	स्थायी
934ada207d009000	अबिगेल
54536afe8392c080	अजैविक
cc175db74eec0080	दयनीय
86a6030f319fe080	पेटलेला
86a6030f319fe0c0	जळत
f4004fdea3547080	सक्षम
10d13e74d0e400c0	कुशलतेने
4d6e65414e0ab080	असामान्य
eefe676a1b5820c0	असामान्यपणे
ff9a937608c344c0	वर
ff9a937608c340c0	आत
93d9fe97f195c040	नष्ट करणे
9902f5a3766e2040	रद्द केले
5d69b29663aca040	नष्ट करणे
cc06d4ceae07f080	उच्चाटनवादी
4021610fef3ed080	घृणास्पद
6544119a4c557080	आदिवासी
77695c868f1dc040	गर्भपात करणे
60f247d4af86a080	रद्द केलेला
517914741cd76040	गर्भपात करणे
d47fb23e24d4c040	विपुल असणे
d183a82d25275040	विपुल आहे
cacc05c6461864c0	बद्दल
cacc05c6461860c0	सुमारे
9191fee6a8f3e4c0	वर
9191fee6a8f3e0c0	वर
025450be9f0a7080	जमिनीवरील
321aab9283c4b000	संक्षेप
d9e61e4ccd60a000	अब्राम
fe9a60340622d000	अब्राम्स
73f317d07ecba080	घासक
0efef1b292b59000	घर्षक
dfbd6a2d642580c0	बरोबरीने
02f7e7f07cd46080	संक्षिप्त
0545d05378e6c0c0	परदेशात
cd058e7a43f27080	अचानक
a87a2bcc457500c0	अचानक
0ac3f93560bfd000	गैरहजेरी
1b676af97710c080	अनुपस्थित
dee3e389c5b0b080	पूर्ण
3f1b571a687430c0	पूर्णपणे
d0ed238d442a1040	शोषणे
e1063f07268c3080	शोषित
b715ed43a8c55080	शोषक
54a5f19ef9a5f000	शोषक
110c306de725b080	शोषक
5b57b7162bbed040	शोषून घेतो
3439f2a7c8861040	दूर राहणे
a8fcc7dc8239f040	दूर राहिले
1a9e0aa27de67080	अमूर्त
0e39bbbb38078080	तंद्रीत
0e39bbbb38078040	काढले
90b72f242323d040	सारांश काढणे
f20ebd0005c19000	अमूर्तता
a79f264fa970e040	काढतो
574d1a5bf20e9080	मूर्खपणाचा
751d5663bca54080	मुबलक
6d919424cb0e60c0	विपुलतेने
ccb11affcdebe040	गैरवापर करणे
76ce9c57c6982080	गैरवापर केलेला
4ab85bca2e1d8000	गैरवापर करणारे
1d49bbdef26b4040	गैरवापर करतो
c339d8fe806b4040	गैरवापर करणे
2416d307cc9e8080	अपमानकारक
726367defd3d6040	लगत असणे
726367defd3d6080	संलग्न
7660ca53aa80d040	भोगणे
