-artig	a.natured
-blättrig	a.leaved
-brüstig	a.chested
-bäuchig	a.bellied
-halsig	a.necked
-herzig	a.hearted
-leibig	a.bodied
-mäulig	a.mouthed
-zentriert	a.centric
ABA	n+f.aba
ABB	n.abb
ABBA	n.abba
ABC	n+n.abcs
ABL	n.abl
ABS	n+n.abs
AFR	n.afr
AG	n+f.corporation@n+f.inc@n+f.corp
AIDS	n+n.aids
AIS	n.ais
APIs	n+f.apis
APO	n+n.apo
ARD	n.ard
ARP	n.arp
ARPANET	n.arpanet
ASP	n+n.asp
AT&T	n+f.att
ATS	n.ats
AUD	n+m.aud
AVN	n.avn
AVs	n.avs
Aachen	n.aachen
Aal	n+m.eel
Aalborg	n.aalborg
Aale	n.eels
Aaliyah	n+f.aaliyah
Aarhus	n.aarhus
Aaron	n+m.aaron
Aas	n+n.carrion
Aasfresser	n+m.scavenger
Aasfresserei	n+n.scavenging
Abakus	n+m.abacus
Abalone	n+f.abalone
Abbas	n.abbas
Abbau	n+f.degradation@n+m.depletion@n+m.dismantling@n+m.catabolism
Abbild	n+n.likeness
Abbildung	n+f.fig@n+f.illustration
Abbildungen	n+f.illustrations@n+f.mappings@n.depictions
Abbott	n+m.abbott
Abbrecher	n+m.dropout@n+m.dropouts
Abbremsung	n+f.deceleration
Abbruch	n+m.abort@n+f.discontinuation
Abby	n.abby
Abbé	n+m.abbe
Abdeckplane	n+f.tarp@n+f.tarps
Abdeckstift	n+m.concealer
Abdeckung	n+f.cover@n+f.coverage@n+f.covering
Abdeckungen	n+f.covers
Abdichtung	n+f.proofing@n+f.waterproofing@n+f.caulking
Abdomen	n+n.abdomen
Abdruck	n+m.imprint
Abdrücke	n.imprints
Abduktion	n+f.abduction@n+f.abductions
Abdul	n.abdul
Abe	n.abe
Abel	n.abel
Abend	n+m.evening
Abenddämmerung	n+f.dusk
Abende	n+m.evenings
Abendessen	n+n.dinner@n+n.supper@n+n.dinners
Abendländer	n+m.westerners
Abendmahl	n+n.eucharist
Abendrot	n+n.afterglow
Abenteuer	n+n.adventure@n+n.adventures@n+n.misadventures@n+n.escapades
Abenteurer	n+m.adventurer@n.adventurers
Aberdeen	n+n.aberdeen
Aberglaube	n+m.superstition@n+m.superstitions
Abernathy	n.abernathy
Aberration	n+f.aberrations@n+f.aberration
Abfahrt	n+f.departure
Abfahrten	n+f.departures
Abfahrts-	a.downhill
Abfall	n+m.waste@n+m.trash@n+m.garbage@n+m.apostasy
Abfang	n+m.intercept
Abfangaktionen	n.interceptions
Abfangen	n+f.interception@n+n.intercepts
Abfangjäger	n+m.interceptor
Abfederung	n+f.cushioning
Abfeuern	n+n.firing
Abfindung	n+f.severance
Abflachung	n+f.flattening
Abflug	n+m.departure@n+m.takeoff
Abfluss	n+m.drain@n+m.runoff@n+n.effluent@n+m.outflow@n+m.outfall@n+m.outflows@n+m.effluents
Abflüge	n+f.departures
Abflüsse	n+m.drains
Abfolge	n+f.succession
Abfolgen	n+f.sequences
Abfrage	n+f.query@n+f.polling@n+f.querying
Abfragen	n+f.queries
Abfuhr	n+f.snub
Abfälle	n+m.wastes
Abführmittel	n+n.laxatives@n+n.laxative
Abfüllen	n+n.bottling
Abfüllung	n+f.bottling
Abgabe	n+f.levy@n+f.dispensing@n+f.cess
Abgaben	n.levies
Abgabetermin	n+m.deadline
Abgase	n+f.exhaust@n.fumes
Abgeordnete	n+m.deputies
Abgeordneter	n+m.legislator@n+m.assemblyman
Abgesandter	n+m.envoy
Abgeschiedenheit	n+f.isolation@n+f.solitude@n+f.seclusion
Abgleich	n+f.reconciliation
Abgleichmodul	n+n.matcher
Abgott	n+m.idol
Abgrenzung	n+f.accrual@n+f.delineation@n+f.accruals@n+f.demarcation
Abgrund	n+m.abyss@n+m.chasm
Abgänge	n+m.offs
Abgänger	n.leavers
Abhandlung	n+f.discourse@n+f.treatise@n+f.treatises
Abhandlungen	n+f.dissertations@n.discourses
Abhang	n+m.hillside
Abhebung	n+f.withdrawal
Abhebungen	n+f.withdrawals
Abhilfe	n+f.remedy@n+f.redress
Abhilfen	n+f.remedies
Abholung	n+f.pickup
Abholungen	n+f.pickups
Abholzung	n+f.logging@n+f.deforestation
Abhängige	n+m.addicts
Abhängiger	n+m.dependent@n+m.dependant
Abhängigkeit	n+f.addiction@n+f.reliance@n+f.dependence@n+f.dependency
Abhängigkeiten	n+f.dependencies@n+f.addictions
Abhöraktion	n+f.wiretapping
Abhören	n+n.eavesdropping@n+n.wiretapping
Abhörvorrichtung	n+f.wiretap@n+f.wiretaps
Abidjan	n.abidjan
Abigail	n.abigail
Abilene	n.abilene
Abingdon	n.abingdon
Abitur	n+n.baccalaureate
Abkleben	n+n.taping
Abkommen	n+n.treaty@n+n.accord@n+f.treaties@n.accords
Abkömmling	n+m.descendant
Abkürzung	n+f.shortcut@n+f.abbreviation@n+f.abbrev@n+f.abbr
Abkürzungen	n+f.shortcuts@n+f.abbreviations@n+f.acronyms
Ablage	n+f.filing@n+f.shelf@n+f.tray
Ablagerung	n+f.deposition@n+f.sedimentation
Ablagerungen	n+m.sediments
Ablation	n+f.ablation
Ablauf	n+f.expiration@n+m.expiry
Ablaufdiagramm	n+n.flowcharts
Ableger	n+m.offshoot
Ablehnung	n+f.decline@n+f.denial@n+f.rejection@n+f.refusal@n+f.disapproval@n+f.declination@n+f.denials@n+f.repudiation@n+f.rejections
Ableitung	n+f.derivative@n+f.derivation@n+f.derivations
Ableitungen	n+f.derivatives
Ablenkung	n+f.diversion@n+f.distraction@n+f.deflection
Ablenkungen	n+f.diversions@n.distractions
Abläufe	n+f.routines
Ablösung	n+f.detachment
Abmelden	n+n.unsubscribing
Abmeldung	n+f.logout@n+f.logoff
Abmessungen	n+f.dimensions
Abnahme	n+f.decrease@n+f.wane
Abnahmen	n+f.decreases
Abnehmen	n+n.slimming
Abnehmer	n.takers@n+m.taker
Abneigung	n+f.dislike@n+f.aversion@n+f.loathing@n+f.distaste
Abneigungen	n.dislikes
Abner	n.abner
Abnormität	n+f.abnormality
Abnormitäten	n+f.abnormalities
Abnutzung	n+f.attrition
Abolitionist	n+m.abolitionist
Abonnement	n+n.subscription
Abonnements	n+n.subscriptions
Abonnent	n+m.subscriber
Abonnenten	n+m.subscribers
Abordnungen	n+f.delegations
Aborigine	n+m.aborigines
Abr.	n.abr
Abraham	n+m.abraham
Abram	n.abram
Abrams	n.abrams
Abraum	n+m.tailings@n+f.overburden
Abrechnung	n+f.billing@n+f.reckoning
Abreise	n+f.departure
Abrieb	n+m.abrasion
Abriss	n+f.demolition
Abruf	n+f.retrieval
Abrüstung	n+f.disarmament
Absage	n+f.cancellation
Absagen	n+f.cancellations
Absalom	n+m.absalom
Absatz	n+m.paragraph@n+m.heel@n+m.para
Absaugung	n+f.suction
Abschaffung	n+f.abolition
Abschaltung	n+f.shutdown@n+f.cutoff@n+f.disconnection
Abschaum	n+m.scum
Abscheu	n+f.disgust@n+m.loathing@n+f.repulsion
Abscheulichkeit	n+f.abomination
Abschiebung	n+f.deportation
Abschied	n+m.goodbye@n+m.farewell@n+m.parting
Abschirmung	n+f.shielding
Abschleppen	n+n.towing@n+m.tow
Abschleppwagen	n+m.wrecker
Abschluss	n+m.degree@n+m.finish@n+f.completion@n+m.conclusion@n+m.graduation@n+m.closure@n+m.finalization
Abschlussball	n+m.prom@n+m.proms
Abschlussfeier	n+f.graduation@n+f.commencement@n+f.graduations
Abschlussläufer	n.finishers
Abschlussprüfungen	n+f.finals
Abschläge	n+n.tees
Abschlüsse	n+m.degrees@n+m.closings@n.completions
Abschnitt	n+m.section@n+m.segment@n+m.stub
Abschnitte	n+f.sections@n+f.segments@n+n.clippings@n+f.stubs@n.cuttings
Abschreckung	n+f.deterrence@n+f.quenching
Abschreckungsmittel	n+n.deterrent
Abschreiber	n+m.transcriber@n+m.transcribers
Abschreibung	n+f.depreciation@n+f.amortisation
Abschrift	n+f.transcript@n+f.transcription
Abschriften	n+f.transcripts@n.transcriptions
Abschrägung	n+f.bevel
Abschussvorrichtungen	n.launchers
Abschweifungen	n+f.ramblings
Abschwellmittel	n+n.decongestant
Abschwung	n+m.slowdown@n+m.downturn
Abschwächer	n+m.attenuator@n+m.attenuators
Abschwächung	n+f.attenuation
Abschöpfer	n+m.skimmer
Abschürfung	n+f.abrasion
Abseits	n+n.offside
Absender	n+m.sender@n+m.submitter@n.senders
Absenkung	n+f.sag@n+f.subsidence
Absentismus	n+m.absenteeism
Absetzung	n+f.depositions
Absicherung	n+f.hedge@n+f.hedging
Absicht	n+f.purpose@n+f.intent@n+f.intention@n+f.intents
Absichten	n+f.intentions
Absinth	n+m.absinthe
Absolute	n+n.absolutes
Absolution	n+f.absolution
Absolvent	n+m.graduate@n+m.grad@n+m.alum@n+m.alumnus@n+m.alums
Absolventen	n+m.alumni@n+m.graduates@n.grads
Absolventin	n+f.graduate@n+f.alumna
Absolventinnen	n.alumnae
Absonderung	n+f.separation@n+f.secretion@n+f.secretions
Absonderungen	n.separations
Absorber	n+m.absorber@n.absorbers
Absorption	n+f.absorption@n+f.absorbance
Absorptionsmittel	n+n.absorbent
Abspaltung	n+f.secession
Absperrung	n+f.cordon@n+f.barricades
Absplittern	n+n.chipping
Absprache	n+f.collusion
Abstammung	n+f.ancestry@n+f.descent@n+f.pedigree@n+f.lineage@n+f.bloodlines@n+f.parentage@n+f.pedigrees@n+f.bloodline@n+f.ancestries
Abstammungslinie	n+f.lineages
Abstand	n+m.gap@n+m.interval@n+m.spacing@n+m.standoff
Abstandshalter	n+m.spacer@n.spacers
Abstauben	n+n.dusting
Abstellkammer	n+f.closet
Abstieg	n+m.descent
Abstimmung	n+f.vote@n+f.poll@n+n.voting@n+f.coordination@n+f.tuning@n+f.ballot@n+n.balloting
