# Interlingua translation file: English -> ur
# Format: hash<TAB>translation
hash	translation
385476f5b1bbe340	آہ
03ea48a38eecc0c0	حیرت زدہ
c46a0e4cc0046040	چھوڑ دینا
e13350403ce40080	ترک شدہ
e13350403ce40040	چھوڑ دیا
0dc8fbad150d3040	چھوڑنا
e0439eced3d54040	چھوڑ دیتا ہے
29d683e95fc46040	کم کرنا
3e0eaef7fee3b040	کم ہوا
e65af51fd36b3080	مختصر
e65af51fd36b3040	مختصر کیا
da8a00dd7ac4f080	پیٹ کا
d16420172a65b040	اغوا کرنا
934da3b3cd6d9080	منحرف
ec5ad3480e64b040	مدد کرنا
bfe003cbff7e4040	اکسانا
c2c96a45543e0040	برداشت کرنا
4de8abe0d1ee7040	رہنا
11944e534046b080	پابند
11944e534046b040	قائم رہنا
54536afe8392c080	غیر حیاتی
cc175db74eec0080	ذلیل
86a6030f319fe080	بھڑکتا ہوا
86a6030f319fe0c0	جلتا ہوا
f4004fdea3547080	قابل
10d13e74d0e400c0	ماہرانہ
4d6e65414e0ab080	غیر معمولی
eefe676a1b5820c0	غیر معمولی طور پر
ff9a937608c344c0	سوار
ff9a937608c340c0	بورڈ پر
93d9fe97f195c040	منسوخ کرنا
9902f5a3766e2040	ختم کیا
5d69b29663aca040	ختم کرنا
4021610fef3ed080	گھناؤنا
6544119a4c557080	مقامی
77695c868f1dc040	ناکام کرنا
60f247d4af86a040	ناکام
60f247d4af86a080	نامکمل
517914741cd76040	ناکام کرنا
d47fb23e24d4c040	بہت ہونا
d183a82d25275040	بھرا ہوتا ہے
cacc05c6461864c0	کے بارے میں
cacc05c6461860c0	تقریباً
9191fee6a8f3e4c0	کے اوپر
9191fee6a8f3e0c0	اوپر
025450be9f0a7080	زمین کے اوپر
73f317d07ecba080	کھردرا
dfbd6a2d642580c0	ساتھ ساتھ
02f7e7f07cd46080	مختصر
0545d05378e6c0c0	بیرون ملک
cd058e7a43f27080	اچانک
a87a2bcc457500c0	اچانک
1b676af97710c080	غیر حاضر
dee3e389c5b0b080	مطلق
3f1b571a687430c0	بالکل
d0ed238d442a1040	جذب کرنا
e1063f07268c3040	جذب کیا
e1063f07268c3080	مصروف
b715ed43a8c55080	جذب کرنے والا
110c306de725b080	دلچسپ
110c306de725b040	جذب کرنا
5b57b7162bbed040	جذب کرنا
3439f2a7c8861040	پرہیز کرنا
a8fcc7dc8239f040	پرہیز کیا
1a9e0aa27de67080	تجریدی
0e39bbbb38078080	غیر حاضر دماغ
0e39bbbb38078040	نکالنا
