a	art.—
aachen	n.アーヘン
aah	int.ああ
aalborg	n.オールボー
aaliyah	n.アリーヤ
aardvark	n.ツチブタ
aarhus	n.オーフス
aaron	n.アーロン
aba	n.アバ
aback	ad.後ろに@ad.不意を突かれて
abacus	n.そろばん
abalone	n.アワビ
abandon	vt.放棄する@vt.見捨てる
abandoned	a.放棄された@v.放棄した
abandoning	v.放棄する@v.見捨てる
abandonment	n.放棄@n.断念
abandons	vt.放棄する@vt.見捨てる
abate	vi.弱まる@vt.減少させる
abated	vi.弱まった@vt.軽減した
abatement	n.軽減@n.減少
abb	n.ABB
abba	n.アバ
abbas	n.アッバス
abbe	n.修道院長@n.聖職者
abbey	n.修道院@n.大寺院
abbot	n.修道院長
abbott	n.アボット
abbr	n.略語
abbrev	n.略語
abbreviated	a.省略した@v.短縮した
abbreviation	n.略語@n.省略
abbreviations	n.略語@n.省略形
abby	n.アビー
abcs	n.ABC@n.初歩
abdomen	n.腹部@n.腹
abdominal	a.腹部の
abducted	v.誘拐した@v.拉致した
abduction	n.誘拐@n.外転
abductions	n.誘拐@n.拉致
abdul	n.アブドゥル
abe	n.アベ
abel	n.アベル
aberdeen	n.アバディーン
abernathy	n.アバナシー
aberrant	a.異常な@a.逸脱した
aberration	n.逸脱@n.異常
aberrations	n.逸脱@n.異常
abet	vt.そそのかす@vt.幇助する
abetting	vt.教唆する@vt.幇助する
abide	v.従う@v.とどまる@v.耐える
abides	vi.留まる@vi.従う
abiding	a.永続する@v.従う
abidjan	n.アビジャン
abigail	n.アビゲイル
abilene	n.アビリーン
abilities	n.能力
ability	n.能力
abingdon	n.アビンドン
abiotic	a.非生物的な
abject	a.惨めな@a.卑屈な
abl	n.アブル@n.切除
ablation	n.アブレーション@n.切除
ablaze	a.燃えている@ad.燃え上がって
able	a.〜できる@a.有能な
ably	ad.巧みに@ad.有能に
abner	n.アブナー
abnormal	a.異常な
abnormalities	n.異常@n.異常性
abnormality	n.異常@n.変則
abnormally	ad.異常に@ad.以上な程度に
aboard	prep.乗って@ad.乗船して
abode	n.住居@n.住まい
abolish	vt.廃止する@vt.撤廃する
abolished	v.廃止した
abolishing	vt.廃止する@n.撤廃
abolition	n.廃止@n.撤廃
abolitionist	n.廃止論者@n.奴隷制廃止論者
abominable	a.忌まわしい@a.ひどい
abomination	n.嫌悪@n.忌まわしいもの
aboriginal	a.先住民の@n.先住民
aborigines	n.アボリジニ@n.原住民
abort	vt.中止する@vt.流産する
aborted	v.中止した@a.失敗した
aborting	vt.中止する@vt.中絶する
abortion	n.中絶@n.妊娠中絶
abortions	n.妊娠中絶@n.流産
abound	vi.富む@vi.たくさんある
abounds	vi.豊富にある@vi.あふれる
about	prep.について@ad.約
above	prep.〜の上に@ad.上に
aboveground	a.地上の@ad.地上に
abr	n.略語
abraham	n.アブラハム
abram	n.アブラム
abrams	n.エイブラムス
abrasion	n.摩耗@n.擦り傷
abrasive	a.研磨性の@a.不快な@n.研磨剤
abrasives	n.研磨剤
abreast	ad.並んで@a.遅れないで
abridged	a.要約された@a.縮約版の
abroad	ad.海外に@ad.国外で
abrupt	a.突然の@a.ぶっきらぼうな
abruptly	ad.突然に@ad.ぶっきらぼうに
abs	n.腹筋@n.ABS
absalom	n.アブサロム
abscess	n.膿瘍
absence	n.不在@n.欠席
absences	n.欠席@n.不在
absent	a.欠席の@a.不在の
absentee	n.欠席者@a.不在の
