# Interlingua translation file: English -> vi
# Format: hash<TAB>translation
hash	translation
385476f5b1bbe340	ah
5e4be13d7934e000	thú ăn kiến
8bfb784e2c304000	Aaron
b744fb969684e000	ABA
03ea48a38eecc0c0	về phía sau
a03996c91dea0000	bàn tính
71a9db0054195000	bào ngư
c46a0e4cc0046040	từ bỏ
e13350403ce40040	bỏ rơi
e13350403ce40080	bị bỏ rơi
0dc8fbad150d3040	bỏ rơi
29a6c953e68a1000	bỏ rơi
e0439eced3d54040	từ bỏ
29d683e95fc46040	giảm bớt
3e0eaef7fee3b040	giảm bớt
7a4e96dd70685000	giảm bớt
291c3db09146c000	ABB
a43e1ee3a6d27000	ABBA
d24cfc90fb590000	Abbas
cfc2b9a77dc7d000	Abbe
b3ea52f89e456000	tu viện
0e8ace0353b83000	viện phụ
b4657110c4479000	viết tắt
64c9fdad25d17000	viết tắt
e65af51fd36b3040	rút gọn
72621569ad947000	viết tắt
282b6e0dfced3000	chữ viết tắt
6cfcecbcba45f000	Abby
6eaae73945e01000	ABC
de1ca02f02ce1000	bụng
da8a00dd7ac4f080	bụng
d16420172a65b040	bắt cóc
3197ccf09ac4c000	bắt cóc
42b04b3e8986d000	bắt cóc
e2af69bada306000	Abe
0b880dab819cb000	Aberdeen
934da3b3cd6d9080	lạc lối
f3ee623c133e4000	sự lệch lạc
f6b6af9593947000	sự lệch lạc
ec5ad3480e64b040	xúi giục
bfe003cbff7e4040	xúi giục
c2c96a45543e0040	tuân theo
4de8abe0d1ee7040	tuân thủ
11944e534046b040	tuân thủ
11944e534046b080	bền lâu
934ada207d009000	Abigail
2614bf2769571000	khả năng
000e4f2807d6d000	khả năng
54536afe8392c080	vô sinh
cc175db74eec0080	thảm hại
3235ed8db6372000	cắt bỏ
86a6030f319fe080	cháy rực
f4004fdea3547080	có thể
10d13e74d0e400c0	tài tình
4d6e65414e0ab080	bất thường
c40c274c0dcce000	bất thường
63213121621ee000	sự bất thường
eefe676a1b5820c0	bất thường
ff9a937608c340c0	trên tàu
ff9a937608c344c0	trên
9d144ea566fd6000	nơi ở
93d9fe97f195c040	bãi bỏ
9902f5a3766e2040	bãi bỏ
5d69b29663aca040	bãi bỏ
c25eb44b02121000	bãi bỏ
cc06d4ceae07f000	người bãi nô
cc06d4ceae07f080	bãi nô
4021610fef3ed080	ghê tởm
b54bf3b17e90b000	sự ghê tởm
6544119a4c557080	thổ dân
6544119a4c557000	thổ dân
f0a2acff2bdb4000	thổ dân
77695c868f1dc040	hủy bỏ
60f247d4af86a040	hủy bỏ
517914741cd76040	phá thai
3737259a083a2000	phá thai
a9f08bd37ce7a000	phá thai
d47fb23e24d4c040	có nhiều
d183a82d25275040	phong phú
cacc05c6461864c0	về
9191fee6a8f3e4c0	trên
9191fee6a8f3e0c0	trên
025450be9f0a7080	trên mặt đất
321aab9283c4b000	ABR
6b1e91b2fc10a000	Abraham
d9e61e4ccd60a000	Abram
fe9a60340622d000	Abrams
bef62932a4561000	mài mòn
73f317d07ecba080	mài mòn
73f317d07ecba000	chất mài
0efef1b292b59000	chất mài mòn
dfbd6a2d642580c0	sóng đôi
02f7e7f07cd46040	rút gọn
0545d05378e6c0c0	nước ngoài
cd058e7a43f27080	đột ngột
a87a2bcc457500c0	đột ngột
334a2baa36ef2000	ABS
a948f10b281e2000	áp xe
fec05775ceac1000	sự vắng mặt
0ac3f93560bfd000	vắng mặt
1b676af97710c080	vắng mặt
1b676af97710c040	vắng mặt
59828890513b6000	người vắng mặt
9d97fa63115de000	tình trạng vắng mặt
5dec87f5dcbfe000	rượu absinthe
dee3e389c5b0b080	tuyệt đối
3f1b571a687430c0	hoàn toàn
89feb6f3f085d000	tuyệt đối
1bec5d2b13650000	xá tội
d0ed238d442a1040	hấp thụ
7f2db36a30e3d000	độ hấp thụ
e1063f07268c3040	hấp thụ
e1063f07268c3080	được hấp thụ
b715ed43a8c55080	thấm
88d4054f1d16b000	bộ hấp thụ
54a5f19ef9a5f000	bộ hấp thụ
110c306de725b040	hấp thụ
5b57b7162bbed040	hấp thụ
fa7059af02bfa000	hấp thụ
3439f2a7c8861040	kiêng
a8fcc7dc8239f040	kiêng
f93cb0bb65c9f000	bỏ phiếu trắng
25758858c11d2000	kiêng
1a9e0aa27de67000	tóm tắt
1a9e0aa27de67080	trừu tượng
0e39bbbb38078040	trừu tượng hóa
90b72f242323d040	trừu tượng hóa
5157d6fcee88e000	trừu tượng
f20ebd0005c19000	trừu tượng
a79f264fa970e000	bản tóm tắt
574d1a5bf20e9080	vô lý
b32c9c8295b4d000	sự vô lý
71255f36b88d3000	sự dồi dào
727d95a998e23000	dư thừa
751d5663bca54080	dồi dào
6d919424cb0e60c0	dồi dào
ccb11affcdebe000	lạm dụng
ccb11affcdebe040	lạm dụng
76ce9c57c6982040	lạm dụng
76ce9c57c6982080	bị lạm dụng
e03eb0a97a619000	kẻ bạo hành
4ab85bca2e1d8000	kẻ lạm dụng
1d49bbdef26b4000	lạm dụng
1d49bbdef26b4040	lạm dụng
c339d8fe806b4040	lạm dụng
2416d307cc9e8080	lăng mạ
726367defd3d6040	giáp
7660ca53aa80d040	phải chịu
5bc9f95ca053e080	cực kỳ tồi
4799a7db1bf3a000	vực thẳm
692bbb1c07b08000	cây keo
3adcb56e69ace000	học viện
baaa558272f15000	giới học thuật
02381690f4ae8080	học thuật
320f4b53dd33b0c0	học thuật
13a728a8b286e000	học giả
58b47ec6ec6fb000	học viện
f445bdf622b6b000	học viện
73445274f6b70080	Acadian
73445274f6b70000	người Acadian
4f30e54f2b085000	acc
37724a1bc6b79000	tăng tốc
786e5e8c733eb040	tăng tốc
f65fe33dd4dd1040	tăng tốc
f65fe33dd4dd1080	được tăng tốc
64fc4ba7f7642040	tăng tốc
350966825998d040	tăng tốc
2c40dfada5d12000	tăng tốc
4ca25c5014a97000	bàn đạp ga
36a46dd75514b000	chất xúc tác
c54de9b01f847000	máy đo gia tốc
d4beccfa12922000	giọng
d4beccfa12922040	nhấn mạnh
8e787f0be4a88080	có dấu
8e3dbe3174bfb000	giọng
8e3dbe3174bfb040	nhấn mạnh
a59d660746eaf040	nhấn mạnh
5513c7252e2a8040	nhấn mạnh
6507c531d1cd3040	chấp nhận
46bce12fa4747000	chấp nhận được
54e2e21f7db4a080	chấp nhận được
bb1916ae7e01d000	chấp nhận
908a3698c75fb000	chấp nhận
b54cc5fa943e9040	đã chấp nhận
b54cc5fa943e9080	được chấp nhận
cbe29d9ba81f9040	chấp nhận
a7b15c0911933000	chất nhận
8ea89e560f8b9040	chấp nhận
723089f5a7f33000	truy cập
723089f5a7f33040	truy cập
d28bf8ef656e2040	truy cập
1dee1cc243a44040	truy cập
1dee1cc243a44000	truy cập
06c22532e6e2e000	khả năng tiếp cận
e21ac292a44fe080	có thể tiếp cận
ae62ed3ad33b2040	truy cập
a838a65a62ca5000	gia nhập
a4f43fc74717a000	gia nhập
49a80567fa4bc000	phụ kiện
3809ae3f11526000	phụ kiện
7591296123755000	tai nạn
781fd5eb29bcd080	tình cờ
