# Interlingua translation file: English -> bn
# Format: hash<TAB>translation
hash	translation
385476f5b1bbe340	আহ
03ea48a38eecc0c0	পিছনে
c46a0e4cc0046040	পরিত্যাগ করা
e13350403ce40080	পরিত্যক্ত
e13350403ce40040	পরিত্যাগ করা
0dc8fbad150d3040	পরিত্যাগ করছে
e0439eced3d54040	পরিত্যাগ করে
29d683e95fc46040	কমানো
3e0eaef7fee3b040	হ্রাস পেয়েছে
e65af51fd36b3080	সংক্ষিপ্ত
e65af51fd36b3040	সংক্ষেপ করা হয়েছে
da8a00dd7ac4f080	উদর সংক্রান্ত
d16420172a65b040	অপহরণ করেছিল
d16420172a65b080	অপহৃত
934da3b3cd6d9080	বিচ্যুত
ec5ad3480e64b040	প্ররোচনা দেওয়া
bfe003cbff7e4040	প্ররোচিত করা
c2c96a45543e0040	থাকা
4de8abe0d1ee7040	মেনে চলে
11944e534046b080	স্থায়ী
11944e534046b040	মান্য করা
54536afe8392c080	অজৈব
cc175db74eec0080	চরম
86a6030f319fe080	জ্বলন্ত
10d13e74d0e400c0	দক্ষতার সাথে
4d6e65414e0ab080	অস্বাভাবিক
eefe676a1b5820c0	অস্বাভাবিকভাবে
ff9a937608c340c0	জাহাজে
ff9a937608c344c0	উপরে
93d9fe97f195c040	বিলোপ করা
9902f5a3766e2040	বিলুপ্ত করা হয়েছে
5d69b29663aca040	বিলুপ্ত করছে
4021610fef3ed080	ঘৃণ্য
6544119a4c557080	আদিবাসী
77695c868f1dc040	বাতিল করা
60f247d4af86a040	বাতিল করা
60f247d4af86a080	নষ্ট হয়ে যাওয়া
517914741cd76040	গর্ভপাত করা
d47fb23e24d4c040	প্রচুর থাকা
d183a82d25275040	প্রচুর পরিমাণে আছে
cacc05c6461864c0	সম্পর্কে
cacc05c6461860c0	প্রায়
9191fee6a8f3e4c0	উপরে
9191fee6a8f3e0c0	উপরে
025450be9f0a7080	ভূপৃষ্ঠের উপরে
73f317d07ecba080	ঘর্ষণকারী
0efef1b292b59000	ঘর্ষক পদার্থ
dfbd6a2d642580c0	পাশাপাশি
02f7e7f07cd46080	সংক্ষেপিত
02f7e7f07cd46040	সংক্ষিপ্ত করা হয়েছে
0545d05378e6c0c0	বিদেশে
cd058e7a43f27080	আকস্মিক
a87a2bcc457500c0	হঠাৎ
1b676af97710c080	অনুপস্থিত
dee3e389c5b0b080	পরম
