# Interlingua translation file: English -> pt
# Format: hash<TAB>translation
hash	translation
385476f5b1bbe340	aah
8bfb784e2c304000	Aaron
b744fb969684e000	ABA
03ea48a38eecc0c0	para trás
c46a0e4cc0046040	abandonar
e13350403ce40080	abandonado
e13350403ce40040	abandonado
0dc8fbad150d3040	abandonar
e0439eced3d54040	abandona
29d683e95fc46040	diminuir
3e0eaef7fee3b040	diminuiu
291c3db09146c000	ABB
a43e1ee3a6d27000	abba
d24cfc90fb590000	abbas
cfc2b9a77dc7d000	Abbe
e65af51fd36b3040	abreviou
6cfcecbcba45f000	abby
da8a00dd7ac4f080	abdominal
d16420172a65b040	sequestrar
e2af69bada306000	Abe
0b880dab819cb000	Aberdeen
ec5ad3480e64b040	instigar
bfe003cbff7e4040	instigando
c2c96a45543e0040	tolerar
4de8abe0d1ee7040	permanece
11944e534046b040	cumprindo
934ada207d009000	abigail
10d13e74d0e400c0	habilmente
4d6e65414e0ab080	anormal
eefe676a1b5820c0	anormalmente
ff9a937608c344c0	a bordo
ff9a937608c340c0	a bordo
93d9fe97f195c040	abolir
9902f5a3766e2040	aboliu
5d69b29663aca040	abolindo
6544119a4c557080	aborígene
77695c868f1dc040	abortar
60f247d4af86a040	abortou
517914741cd76040	abortando
d47fb23e24d4c040	abundar
d183a82d25275040	abunda
cacc05c6461864c0	sobre
9191fee6a8f3e4c0	acima de
9191fee6a8f3e0c0	acima
6b1e91b2fc10a000	Abraão
d9e61e4ccd60a000	Abrão
fe9a60340622d000	abrams
dfbd6a2d642580c0	lado a lado
0545d05378e6c0c0	no exterior
a87a2bcc457500c0	abruptamente
1b676af97710c080	ausente
3f1b571a687430c0	absolutamente
d0ed238d442a1040	absorver
e1063f07268c3040	absorveu
110c306de725b040	absorvendo
5b57b7162bbed040	absorver
3439f2a7c8861040	abster
a8fcc7dc8239f040	absteve-se
0e39bbbb38078040	abstrair
90b72f242323d040	abstraindo
a79f264fa970e040	abstrai
751d5663bca54080	abundante
6d919424cb0e60c0	abundantemente
ccb11affcdebe040	abusar
76ce9c57c6982040	abusou
1d49bbdef26b4040	abusa
c339d8fe806b4040	abusando
726367defd3d6040	fazendo fronteira
7660ca53aa80d000	Aby
320f4b53dd33b0c0	academicamente
786e5e8c733eb040	acelerar
f65fe33dd4dd1080	acelerado
f65fe33dd4dd1040	acelerou
64fc4ba7f7642040	acelerar
350966825998d040	acelerando
a59d660746eaf040	acentuar
5513c7252e2a8040	acentuou
6507c531d1cd3040	aceitar
54e2e21f7db4a080	aceitável
b54cc5fa943e9040	aceitou
cbe29d9ba81f9040	aceitando
8ea89e560f8b9040	aceita
723089f5a7f33040	acessar
d28bf8ef656e2040	acessado
1dee1cc243a44040	acessa
e21ac292a44fe080	acessível
ae62ed3ad33b2040	acessando
781fd5eb29bcd080	acidental
28db0666808c20c0	acidentalmente
0c78dccedecc8040	aclamar
e545216382e48040	acomodar
c59664bd1cf54040	acomodou
6840f56852e89040	acomodar
407b3e603deeb040	acomodando
3b3440a4f3bce040	acompanhado
3b3440a4f3bce080	acompanhado
fb202804a67f3040	acompanha
cb950c83a95b0040	acompanhar
4d4a343e7acdb040	acompanhando
4d4a343e7acdb080	acompanhante
6d959a45b892b040	realizar
af22ea9bb199e080	realizado
8b7c9450ef522040	realiza
2647f2e8bbc64040	realizando
03664011f21ac040	concedeu
f51b00d32f5a50c0	consequentemente
ac18ee09a7fed040	conceder
af1efc81290fc040	contabilizar
b87f34838c7a9080	responsável
bf68e6e042512040	contabilizou
6f8bae71c7a27040	contabilizando
138a7b25414c0040	explica
daab1c0fb3c7a000	Acra
2dfe1cb958232080	credenciado
5cbbb0d105d52040	credenciar
588e94ba73f61040	acumular
19bf4dc42abe9040	acumulou
7e21ba4f7e625040	acumulando
234c1bf6aa870040	acumular
fd03ed434ee7c040	acumulou
0661214156300040	acumula
911ccdc1fa5e9040	acumular
cb62784e21feb0c0	com precisão
f1b4c8fe07ff4040	acusar
a21525bcd343e080	acusado
f3a28f3d70644040	acusar
df4510b3a9d99040	acusando
db92637d85141080	excelente
bc354f3c7d0e0040	doer
77aead90852f1040	dói
b57b27da872d4040	alcançar
493719a710c09040	alcançou
c05bd26290adb040	alcança
9393e1000c7e9040	alcançando
6f9aa9bbf6f3f040	doer
d77e8a63baea7000	Ácis
16b94fcd005ed040	reconhecer
b49b1cb54af4d040	reconhecido
b49b1cb54af4d080	reconhecido
008351c7292f9040	reconhece
95ec1ad8b8047040	reconhecendo
44ad98655d885000	Acme
0dbccca9dd901080	acústico
1c02bab23e1e1040	familiarizar
9580d918eeb70040	adquirir
22f3332fbbeb2040	adquiriu
3f213c7cca4fc040	adquire
41fe3bef29c11040	adquirir
0598a9517898f040	absolver
884546d7f85264c0	através de
fd568b3122aab080	acrílico
f5f4c1c9b4628040	agir
ab516ae26c7b2040	agiu
8bfa9aa86ae0e040	atuando
0fb3b9633e375040	ativar
40923248f3f89040	ativado
99f7c01f5c488040	ativa
9aa476a16a949040	ativando
674dcd338280a0c0	ativamente
06f6d12eaa1c8000	acton
a30ca4e899b0c040	age
0e0c6d4b415f00c0	na verdade
0524d1d7b2044040	acionar
e96f68c9eabc1040	acionou
7ff2163d2a821080	agudo
205904e865a0b0c0	agudamente
691d4463952c8000	Ada
16cb43562fc790c0	adágio
570af80a02d88040	adaptar
c5e2f87d4f534080	adaptado
c5e2f87d4f534040	adaptado
320f37346da92040	adaptando
4c81dadb36ac1080	adaptativo
4f0d39671740b040	adaptar
ffb352e13fd28040	adicionar
2bee98317da6a040	adicionou
cad9cbe4c3220040	viciar
2323df6d6fef6000	Addie
995d68c7d5a6f040	adicionando
6bb6e92db32d70c0	adicionalmente
543d3ab02bdec080	aditivo
fc666635f5471040	endereçar
f15d599fb1805040	endereçou
c2546a4cb03de040	aborda
048ec15dfb105040	endereçando
ad9530c845c52040	adiciona
547db67a07679000	Adele
f409da41589f30c0	adequadamente
9dae799b676f3040	aderir
3aebe288d9987040	aderiu
bc12725a53958040	aderir
f77e24ed7606f040	aderir
55e09a28ac89a080	adesivo
097344157926c000	Adidas
87a2b849c728f340	adeus
b5dc9b4a5682c340	adeus
e68fbc1d45f62000	adirondack
bd1141416a9ce000	Adirondacks
984bad50f1fef080	adjacente
8c34281d3f04a040	adjacente
0d787a5598f36040	adiar
8c56b0aec6af2040	adiou
7f041d93ccefe040	julgou
5f5af45500982040	adjudicou
fe606b28cba18080	adjunto
4fd20f1eb97cf040	ajustar
46d7364792e00080	ajustável
e55a2d6a1cd8b080	ajustado
e55a2d6a1cd8b040	ajustado
4ce41540b4428040	ajustar
a4bb14fbf9fe8040	ajusta
f6272c85d8f20040	administrar
1dddfc3a4362d040	administrado
33fe098febb57040	administrar
9cee523b9503c040	administra
cd2a9aadcda1f0c0	administrativamente
c652680d570710c0	admiravelmente
a51b4b8f48a31040	admirar
185b818da4382040	admirou
67f5ec4786cf7040	admirar
aad044a8f158a040	admitir
1d725f77cd212040	admite
33668fb489ea5040	admitido
6b9d03d86417c0c0	reconhecidamente
c1ff4737ce52c040	admitindo
310f243f60d46040	admoestou
220d6a786a94a080	adolescente
a56db7ed61f0e000	Adônis
880865b207f6a040	adotar
3074379ee66ff040	adotou
9a89eabaec9d1040	adotando
ff3d55dc0be74040	adota
7d65f6b764182080	adorável
2c4d83d104f24040	adorar
f6850e0fbe227040	adorar
1c2b39cb24724040	adornar
90c620feac277040	adornar
c0c9dab29abdc0c0	à deriva
c6b74008c3334040	adsorveu
c35317184a749000	advérbio
359b5dcc482a5040	avançar
2bd12e961479e040	avança
c485399659a19040	avançar
9b2cc0d673d87080	adverso
656050c331aa60c0	adversamente
7b1de3075272b040	anunciar
1ec58a47ddd4a040	anunciou
3ac53981ec18a040	anuncia
4a27243c20c23040	anunciando
656115316b338040	aconselhar
3545f27037c03040	aconselhou
3545f27037c03080	aconselhado
908abc416e122040	aconselha
bc4e2e070e61e040	aconselhando
3089bafa4bc9b040	defender
887237ec73d96040	advogou
cfb13d2d8bdba040	defende
d1208896e3471040	defendendo
70330105eb87a000	Egeu
c135d92bd2adf080	aéreo
bf80c2630cd3c080	aero
cf82a9ab3bdfa080	aeroespacial
dd8c4a48d20740c0	esteticamente
948bc093ea6130c0	ao longe
25d1cda2eba07040	afetar
27a12454cd6c1040	afetou
d99bacaa60e6c040	afetando
2e87252973ff80c0	afetuosamente
fe0ad04b213e0040	afeta
f0a400d6345ce040	afiliar
7bb51b07b9c0b080	afiliado
59b664dc4e9d4040	afirmar
6bec709bbfa18080	afirmativo
af5854b95e6760c0	afirmativamente
35acfca52d788040	afirmou
46f8ccc659f15040	afirmar
b4b704a3be4a3040	afirmar
454ba76239ab0040	afixar
683f0e0d88471040	afixar
9e520050282e7040	afligiu
572bb8e490978040	poder pagar
51f81f59e1b94080	acessível
e79a1f192b1510c0	acessivelmente
7e1beb571583b040	proporcionou
635371c74d8c7040	proporcionando
cbb538d96ed36040	proporcionar
cf1069dec5058040	afrontar
d0c0422c4b8480c0	longe
4604dbfc3b85b0c0	à tona
e3d3a3d18bc6b0c0	em andamento
f29858ccdb521080	com medo
787883e407f090c0	à popa
8c49910fe30214c0	após
8c49910fe3021200	depois que
a950cb5d7e8660c0	depois
6cbae9d79d205000	Aga
76c7ae571b93c0c0	novamente
52359cb0b6a524c0	contra
54aa6e53477d2000	Agassi
2d29b99b8573d040	envelheceu
c3a7bc15181ec040	envelhecer
b5d04a59da743040	envelhece
02f8025caa25b000	Aggie
ca3df0acede14040	agravar
a93f04f1c4de9040	agravou
69f2afa29a04f040	agravar
df34966ac62b3040	agregar
df34966ac62b3080	agregado
5ba191ad64b9e040	agregou
706bcd4602e25040	agrega
7e384ca72cbb7040	agregando
7692167410834080	agressivo
ffe28c8c277140c0	agressivamente
b119b7c25219a080	envelhecendo
1fdd56c01608c040	agitar
