# Interlingua translation file: English -> ar
# Format: hash<TAB>translation
hash	translation
385476f5b1bbe340	آه
03ea48a38eecc0c0	إلى الوراء
c46a0e4cc0046040	يتخلى عن
e13350403ce40080	مهجور
e13350403ce40040	هُجر
0dc8fbad150d3040	يتخلى
e0439eced3d54040	يتخلى
29d683e95fc46040	يخفّ
3e0eaef7fee3b040	هدأ
3e0eaef7fee3b080	مُخفَّف
e65af51fd36b3080	مختصر
e65af51fd36b3040	اختصر
da8a00dd7ac4f080	بطني
d16420172a65b040	اختطف
d16420172a65b080	مختطف
934da3b3cd6d9080	شاذ
ec5ad3480e64b040	يُحرِّض
bfe003cbff7e4040	يُحرِّض
c2c96a45543e0040	يلتزم
4de8abe0d1ee7040	يلتزم
11944e534046b080	دائم
11944e534046b040	يلتزم
54536afe8392c080	لا حيوي
cc175db74eec0080	بائس
86a6030f319fe080	مُشتعل
86a6030f319fe0c0	بالنار
10d13e74d0e400c0	بكفاءة
4d6e65414e0ab080	غير طبيعي
eefe676a1b5820c0	بشكل غير طبيعي
ff9a937608c344c0	على متن
93d9fe97f195c040	يلغي
9902f5a3766e2040	ألغى
5d69b29663aca040	يُلغي
cc06d4ceae07f080	إلغائي
4021610fef3ed080	بغيض
6544119a4c557080	أصلي
77695c868f1dc040	يجهض
60f247d4af86a040	أجهض
60f247d4af86a080	مجهض
517914741cd76040	يُجهِض
d47fb23e24d4c040	يكثر
d183a82d25275040	يزخر
cacc05c6461864c0	عن
9191fee6a8f3e4c0	فوق
9191fee6a8f3e0c0	أعلاه
025450be9f0a7080	فوق الأرض
73f317d07ecba080	كاشط
dfbd6a2d642580c0	جنباً إلى جنب
02f7e7f07cd46080	مختصر
0545d05378e6c0c0	في الخارج
cd058e7a43f27080	مفاجئ
a87a2bcc457500c0	فجأة
1b676af97710c080	غائب
3f1b571a687430c0	تماماً
d0ed238d442a1040	يمتص
e1063f07268c3040	امتُص
b715ed43a8c55080	ماص
110c306de725b080	ممتص
110c306de725b040	يمتص
5b57b7162bbed040	يمتص
3439f2a7c8861040	يمتنع
a8fcc7dc8239f040	امتنع
0e39bbbb38078080	شارد الذهن
0e39bbbb38078040	استخلص
90b72f242323d040	يُلخّص
574d1a5bf20e9080	سخيف
751d5663bca54080	وفير
6d919424cb0e60c0	بوفرة
ccb11affcdebe040	يسيء
76ce9c57c6982080	مُعتدى عليه
1d49bbdef26b4040	يسيء
c339d8fe806b4040	يسيء استخدام
2416d307cc9e8080	مُسيء
726367defd3d6040	يُجاور
726367defd3d6080	مُتاخم
5bc9f95ca053e080	سحيق
320f4b53dd33b0c0	أكاديمياً
73445274f6b70080	أكادي
786e5e8c733eb040	يُسرِّع
f65fe33dd4dd1080	مُسرَّع
64fc4ba7f7642040	يسرع
350966825998d040	يتسارع
8e787f0be4a88080	مشدد
8e787f0be4a88040	شدد
a59d660746eaf040	يُبرِز
5513c7252e2a8040	أبرز
6507c531d1cd3040	يقبل
54e2e21f7db4a080	مقبول
b54cc5fa943e9040	قبل
cbe29d9ba81f9040	يقبل
8ea89e560f8b9040	يقبل
723089f5a7f33040	يصل إلى
d28bf8ef656e2040	وُصل إليه
1dee1cc243a44040	يصل إلى
ae62ed3ad33b2040	يصل إلى
781fd5eb29bcd080	عرضي
28db0666808c20c0	عن طريق الخطأ
0c78dccedecc8040	يشيد
9bb6c6559dcc2080	مشهور
e545216382e48040	يستوعب
c59664bd1cf54040	استضاف
6840f56852e89040	يستوعب
407b3e603deeb080	متعاون
407b3e603deeb040	يستوعب
3b3440a4f3bce040	رافق
3b3440a4f3bce080	مرافق
fb202804a67f3040	يرافق
cb950c83a95b0040	يُرافق
4d4a343e7acdb080	مرافق
4d4a343e7acdb040	يرافق
6d959a45b892b040	ينجز
af22ea9bb199e080	منجز
af22ea9bb199e040	أُنجز
8b7c9450ef522040	يُنجز
2647f2e8bbc64040	ينجز
87cab753db57e040	يمنح
03664011f21ac040	منح
f51b00d32f5a50c0	وفقاً لذلك
ac18ee09a7fed040	يمنح
b87f34838c7a9080	مسؤول
bf68e6e042512040	حُوسب
2dfe1cb958232080	معتمد
5cbbb0d105d52040	يعتمد
588e94ba73f61040	يتراكم
19bf4dc42abe9080	متراكم
19bf4dc42abe9040	تراكم
7e21ba4f7e625040	يتراكم
234c1bf6aa870040	يتراكم
fd03ed434ee7c040	تراكم
0661214156300040	يتراكم
911ccdc1fa5e9040	يتراكم
cb62784e21feb0c0	بدقة
f1b4c8fe07ff4040	يتهم
a21525bcd343e040	اُتّهم
f3a28f3d70644040	يتهم
df4510b3a9d99040	يتهم
df4510b3a9d99080	متهم
721deff46032e080	معتاد
db92637d85141080	ممتاز
b13869436f787080	خلي
bc354f3c7d0e0040	يؤلم
77aead90852f1040	يؤلم
5195e3e9dbcdd080	قابل للتحقيق
b57b27da872d4040	يحقق
493719a710c09040	حقق
c05bd26290adb040	يحقق
9393e1000c7e9040	يحقق
6f9aa9bbf6f3f080	مؤلم
6f9aa9bbf6f3f040	يؤلم
386c8da883bb8080	حمضي
16b94fcd005ed040	يعترف
b49b1cb54af4d040	اُعترف
b49b1cb54af4d080	معترف به
008351c7292f9040	يعترف
95ec1ad8b8047040	يعترف
0dbccca9dd901080	صوتي
637396d691197080	صوتي
1c02bab23e1e1040	يُعرّف
11bc51411553d080	مطلع
9580d918eeb70040	يكتسب
22f3332fbbeb2040	اكتُسب
22f3332fbbeb2080	مكتسب
3f213c7cca4fc040	يكتسب
41fe3bef29c11040	يكتسب
0598a9517898f040	برأ
0598a9517898f080	مبرأ
37b23fe5979fb080	بهلواني
884546d7f85264c0	عبر
884546d7f85260c0	من جهة لأخرى
fd568b3122aab080	أكريليكي
f5f4c1c9b4628040	يتصرف
ab516ae26c7b2040	تصرَّف
a0f50a1e9bbf2080	قابل للتنفيذ
0fb3b9633e375040	يُفعِّل
40923248f3f89040	فُعّل
99f7c01f5c488040	ينشط
9aa476a16a949040	ينشط
674dcd338280a0c0	بنشاط
a30ca4e899b0c040	يتصرف
0e0c6d4b415f00c0	فعلاً
00a6983485a8d080	اكتواري
0524d1d7b2044040	يشغل
e96f68c9eabc1040	حرّك
7ff2163d2a821080	حاد
205904e865a0b0c0	بحدة
c57d9634c7dc3080	لا دوري
16cb43562fc790c0	ببطء
5e31435ff6d12080	صلب
570af80a02d88040	يتكيف
26482e1d68393080	قابل للتكيف
c5e2f87d4f534080	مكيّف
c5e2f87d4f534040	كُيّف
