# Interlingua translation file: English -> zh
# Format: hash<TAB>translation
hash	translation
8bfb784e2c304000	亚伦
b744fb969684e000	美国律师协会
c46a0e4cc0046040	放弃
c46a0e4cc0046000	放任
e13350403ce40040	放弃
e13350403ce40080	被遗弃的
29a6c953e68a1000	放弃
7a4e96dd70685000	减少
291c3db09146c000	阿伯
a43e1ee3a6d27000	阿巴
d24cfc90fb590000	阿巴斯
b3ea52f89e456000	修道院
e65af51fd36b3040	缩写
e65af51fd36b3080	缩写的
72621569ad947000	缩写
282b6e0dfced3000	缩写
6cfcecbcba45f000	艾比
de1ca02f02ce1000	腹部
da8a00dd7ac4f080	腹部的
3197ccf09ac4c000	绑架
e2af69bada306000	亚伯
0b880dab819cb000	阿伯丁
c2c96a45543e0040	遵守
934ada207d009000	阿比盖尔
2614bf2769571000	能力
000e4f2807d6d000	能力
f4004fdea3547080	能够的
4d6e65414e0ab080	异常的
c40c274c0dcce000	异常
ff9a937608c340c0	在船上
ff9a937608c344c0	在上
9d144ea566fd6000	住所
9902f5a3766e2040	废除
c25eb44b02121000	废除
6544119a4c557080	土著的
6544119a4c557000	土著居民
77695c868f1dc040	中止
3737259a083a2000	流产
a9f08bd37ce7a000	堕胎
d47fb23e24d4c040	充满
cacc05c6461864c0	关于
cacc05c6461860c0	大约
9191fee6a8f3e4c0	在上面
9191fee6a8f3e0c0	在上面
9191fee6a8f3e080	上述的
6b1e91b2fc10a000	亚伯拉罕
fe9a60340622d000	艾布拉姆斯
73f317d07ecba080	粗糙的
73f317d07ecba000	磨料
02f7e7f07cd46040	缩短
02f7e7f07cd46080	删节的
0545d05378e6c0c0	在国外
334a2baa36ef2000	腹肌
fec05775ceac1000	缺席
1b676af97710c080	缺席的
1b676af97710c040	缺席
59828890513b6000	缺席者
dee3e389c5b0b080	绝对的
3f1b571a687430c0	绝对地
d0ed238d442a1040	吸收
e1063f07268c3040	吸收
e1063f07268c3080	全神贯注的
110c306de725b040	吸收
110c306de725b080	吸引人的
fa7059af02bfa000	吸收
25758858c11d2000	节制
1a9e0aa27de67080	抽象的
1a9e0aa27de67000	摘要
1a9e0aa27de67040	提取
5157d6fcee88e000	抽象
a79f264fa970e000	摘要
a79f264fa970e040	提取
574d1a5bf20e9080	荒谬的
71255f36b88d3000	丰富
751d5663bca54080	丰富的
ccb11affcdebe000	滥用
ccb11affcdebe040	滥用
76ce9c57c6982040	滥用
76ce9c57c6982080	受虐待的
1d49bbdef26b4000	虐待
1d49bbdef26b4040	滥用
2416d307cc9e8080	辱骂的
4799a7db1bf3a000	深渊
baaa558272f15000	学术界
02381690f4ae8080	学术的
02381690f4ae8000	学者
13a728a8b286e000	学者
58b47ec6ec6fb000	学院
f445bdf622b6b000	学院
4f30e54f2b085000	账户
786e5e8c733eb040	加速
f65fe33dd4dd1040	加速
f65fe33dd4dd1080	加速的
350966825998d040	加速
2c40dfada5d12000	加速
4ca25c5014a97000	加速器
d4beccfa12922000	口音
8e3dbe3174bfb000	口音
8e3dbe3174bfb040	强调
6507c531d1cd3040	接受
54e2e21f7db4a080	可接受的
bb1916ae7e01d000	接受
b54cc5fa943e9040	接受
b54cc5fa943e9080	公认的
cbe29d9ba81f9040	接受
cbe29d9ba81f9080	接受的
8ea89e560f8b9040	接受
723089f5a7f33000	访问
723089f5a7f33040	访问
d28bf8ef656e2040	访问
1dee1cc243a44040	访问
1dee1cc243a44000	通道
06c22532e6e2e000	可访问性
e21ac292a44fe080	可访问的
ae62ed3ad33b2040	访问
a838a65a62ca5000	加入
49a80567fa4bc000	配件
3809ae3f11526000	配件
7591296123755000	事故
781fd5eb29bcd080	意外的
28db0666808c20c0	意外地
79e84e9d2a415000	事故
0c78dccedecc8000	赞扬
0c78dccedecc8040	称赞
9bb6c6559dcc2040	称赞
9bb6c6559dcc2080	受到赞誉的
ffc1bc998af4d000	赞誉
e545216382e48040	容纳
c59664bd1cf54040	容纳
49e97534237e8000	住宿
f23a43c825086000	住宿
3b3440a4f3bce040	陪伴
3cfda9a99625c000	伴奏
cb950c83a95b0040	陪伴
4d4a343e7acdb040	伴随
4d4a343e7acdb080	伴随的
6d959a45b892b040	完成
af22ea9bb199e040	完成
af22ea9bb199e080	熟练的
15b156dacbbfa000	成就
537657669895a000	成就
87cab753db57e000	协议
87cab753db57e040	一致
a881c787bbe23000	一致
aa35682e1211a0c0	根据
f51b00d32f5a50c0	因此
c4325d65dcb11000	手风琴
af1efc81290fc000	账户
af1efc81290fc040	解释
fef36925aff26000	责任
